GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,EST001
G11000100058,1990,DC,,,,,,,,,0058,,,99,District Of Columbia,001,,,5,8840,,,,9999,3,District Of Columbia,11,,,,0000000886,0000000000,Tract 58,S,38897500,-77025374,,225000
G42010100002,1990,PA,,,,,,,,,0002,,,77,Philadelphia,101,,,2,6162,,,,6160,1,Pennsylvania,42,,,,0000000407,0000000000,Tract 2,S,39955379,-75156850,,106300
