GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001
G11000100058,1980,S,3,5,District Of Columbia,11,8840,District Of Columbia,001,021,0005,0058,,,,,,,,,,A,,3,C,,,,,State: 11 County: 001 Tract: 58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000
G42010100002,1980,S,1,2,Pennsylvania,42,6160,Philadelphia,101,005,7180,0002,,,,,77,,,,,B,,3,C,,,,,State: 42 County: 101 Tract: 2,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,36786
